車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2018/7/11,"4,080 ","11,194 ","29,941 ","39,850 ","17,997 ","10,945 ","8,547 ","3,747 ","2,709 ","10,428 ","2,145 ","3,000 ","3,759 ","6,484 ","7,862 ","11,177 ","10,872 ","3,849 ","7,192 ","2,539 ","6,294 ","5,919 ","4,059 ","17,881 ","1,725 ","7,720 ","6,810 ","10,205 ","11,300 ","12,316 ","8,191 ","21,207 ","14,555 ","25,611 ","20,522 ","6,489 ","23,756 ","16,948 ","15,970 ","14,444 ","19,616 ","101,974 ","30,434 ","17,739 ","16,427 ","16,372 ","22,110 ","19,064 ","17,474 ","9,409 ","22,572 ","6,174 ","7,490 ","12,074 ","3,571 ","2,802 ","1,937 ","7,027 ","5,583 ","3,945 ","19,619 ","4,532 ","6,105 ","4,310 ","12,940 ","13,213 ","19,121 ","23,362 ","24,010 ","15,953 ","23,591 ","60,041 ","15,161 ","25,425 ","28,934 ","15,764 ","46,214 ","14,867 ","13,492 ","10,250 ","11,454 ","8,477 ","21,264 ","13,485 ","6,105 ","8,724 ","27,414 ","19,228 ","17,205 ","17,436 ","4,262 ","5,772 ","2,701 ","1,734 ","3,648 ","5,736 ","6,589 ","8,990 ","12,403 ","18,895 ","18,498 ","8,425 ","7,571 ","7,504 ","7,582 ","7,995 ","4,983 ","5,645 "
2018/7/12,"6,730 ","16,309 ","42,449 ","50,215 ","26,284 ","15,524 ","12,074 ","4,410 ","3,443 ","13,185 ","2,754 ","3,700 ","6,795 ","8,489 ","10,247 ","17,568 ","16,915 ","5,199 ","9,380 ","3,604 ","8,855 ","8,011 ","5,605 ","29,980 ","2,758 ","12,414 ","11,274 ","17,515 ","23,386 ","15,843 ","10,235 ","29,908 ","19,024 ","35,393 ","29,293 ","9,336 ","37,137 ","28,080 ","27,141 ","22,452 ","26,665 ","159,448 ","38,992 ","23,544 ","23,876 ","26,516 ","31,795 ","26,490 ","23,338 ","12,777 ","31,050 ","8,560 ","10,338 ","16,767 ","4,702 ","3,805 ","2,891 ","12,159 ","9,704 ","7,448 ","35,259 ","8,907 ","13,242 ","7,454 ","21,804 ","24,585 ","31,765 ","40,899 ","42,295 ","27,270 ","29,800 ","73,378 ","23,367 ","35,825 ","39,092 ","24,101 ","63,187 ","19,778 ","17,350 ","15,442 ","17,643 ","13,351 ","29,717 ","18,968 ","8,945 ","12,080 ","40,223 ","23,051 ","24,875 ","26,601 ","9,382 ","10,824 ","5,165 ","5,060 ","6,098 ","9,928 ","9,915 ","13,174 ","17,938 ","29,421 ","24,654 ","14,207 ","12,360 ","12,282 ","12,603 ","11,916 ","9,832 ","9,641 "
2018/7/13,"7,163 ","16,704 ","43,711 ","56,483 ","28,707 ","16,040 ","12,780 ","4,674 ","3,472 ","14,103 ","2,858 ","4,364 ","7,401 ","9,216 ","11,291 ","18,970 ","18,712 ","6,400 ","9,888 ","3,741 ","8,732 ","9,062 ","5,822 ","32,430 ","2,446 ","13,243 ","12,245 ","18,122 ","23,681 ","16,781 ","10,997 ","32,642 ","20,807 ","36,522 ","32,565 ","9,847 ","39,467 ","29,012 ","28,691 ","23,641 ","26,880 ","180,818 ","43,287 ","24,907 ","26,173 ","28,229 ","34,611 ","29,437 ","25,344 ","13,391 ","32,300 ","9,000 ","10,771 ","18,210 ","5,440 ","4,007 ","3,100 ","12,187 ","9,884 ","7,723 ","38,586 ","9,538 ","14,385 ","8,058 ","23,774 ","24,683 ","34,644 ","45,256 ","44,760 ","28,432 ","33,765 ","81,758 ","24,114 ","38,857 ","42,544 ","25,192 ","71,214 ","21,651 ","18,433 ","15,772 ","19,913 ","14,175 ","34,730 ","19,981 ","9,473 ","13,312 ","42,331 ","27,024 ","25,971 ","28,546 ","8,830 ","11,333 ","5,505 ","5,469 ","6,344 ","10,486 ","10,504 ","14,931 ","18,322 ","31,355 ","26,990 ","15,316 ","13,135 ","13,047 ","13,120 ","12,707 ","10,535 ","10,395 "
2018/7/14,"5,313 ","10,672 ","25,924 ","55,240 ","16,771 ","10,930 ","9,168 ","4,049 ","2,857 ","9,166 ","2,129 ","3,474 ","12,009 ","7,176 ","10,174 ","6,309 ","7,860 ","4,466 ","8,732 ","4,119 ","6,218 ","6,769 ","2,629 ","22,595 ","2,130 ","12,011 ","9,525 ","14,603 ","15,996 ","14,377 ","9,251 ","30,084 ","18,201 ","28,174 ","26,195 ","5,027 ","33,203 ","23,370 ","21,991 ","19,196 ","13,314 ","179,708 ","40,611 ","20,348 ","18,710 ","28,099 ","37,090 ","27,468 ","20,574 ","9,580 ","24,520 ","6,868 ","7,488 ","15,299 ","5,663 ","3,446 ","2,108 ","8,788 ","8,739 ","6,143 ","43,124 ","6,960 ","12,447 ","6,703 ","18,479 ","17,785 ","30,825 ","41,754 ","35,226 ","22,854 ","30,893 ","84,724 ","16,665 ","36,678 ","37,093 ","20,246 ","60,002 ","16,291 ","15,361 ","9,858 ","16,080 ","10,587 ","32,278 ","14,065 ","11,831 ","11,285 ","21,203 ","19,377 ","17,120 ","21,614 ","7,331 ","10,922 ","4,209 ","2,646 ","5,802 ","9,076 ","9,782 ","13,077 ","14,192 ","20,804 ","24,510 ","12,280 ","10,872 ","10,501 ","10,370 ","10,679 ","8,300 ","8,270 "
2018/7/15,"5,634 ","8,284 ","18,693 ","43,559 ","13,336 ","8,485 ","6,978 ","3,459 ","2,142 ","6,877 ","1,715 ","2,946 ","9,155 ","5,873 ","9,419 ","4,848 ","6,142 ","3,497 ","7,229 ","3,817 ","4,844 ","5,680 ","2,327 ","17,176 ","2,014 ","11,923 ","8,338 ","12,261 ","13,372 ","12,955 ","8,111 ","26,575 ","15,304 ","21,043 ","24,562 ","4,257 ","27,281 ","19,112 ","18,650 ","16,066 ","12,293 ","178,406 ","33,825 ","15,338 ","18,269 ","23,251 ","30,746 ","23,061 ","19,414 ","7,457 ","20,520 ","5,450 ","6,044 ","12,891 ","5,233 ","2,788 ","1,737 ","7,042 ","7,291 ","5,169 ","41,478 ","6,472 ","11,522 ","5,380 ","15,520 ","14,257 ","25,419 ","37,735 ","29,065 ","18,519 ","27,667 ","75,639 ","15,329 ","31,519 ","29,229 ","16,303 ","52,980 ","13,416 ","12,846 ","8,106 ","14,698 ","9,259 ","29,367 ","10,908 ","10,089 ","9,552 ","16,109 ","11,494 ","13,690 ","17,396 ","5,964 ","9,087 ","3,696 ","2,450 ","5,255 ","7,108 ","8,082 ","11,762 ","11,717 ","17,297 ","22,060 ","9,857 ","8,909 ","8,669 ","8,826 ","8,887 ","6,994 ","7,034 "
2018/7/16,"6,409 ","15,421 ","39,847 ","46,717 ","24,151 ","14,482 ","11,419 ","4,124 ","3,319 ","13,386 ","2,535 ","3,634 ","5,610 ","8,242 ","9,686 ","16,996 ","16,126 ","4,902 ","8,939 ","3,410 ","7,995 ","7,576 ","5,442 ","29,447 ","2,199 ","12,113 ","10,910 ","16,424 ","21,377 ","15,404 ","9,860 ","27,103 ","17,872 ","33,197 ","27,794 ","9,291 ","35,321 ","26,722 ","26,113 ","21,713 ","26,367 ","161,312 ","36,745 ","23,154 ","23,474 ","25,307 ","30,295 ","25,394 ","22,651 ","12,402 ","31,108 ","8,021 ","9,848 ","16,094 ","4,609 ","3,515 ","2,851 ","11,004 ","9,220 ","7,145 ","34,713 ","8,554 ","13,119 ","7,298 ","21,300 ","23,686 ","30,314 ","39,151 ","40,578 ","25,828 ","29,626 ","70,426 ","20,329 ","33,157 ","36,607 ","22,446 ","61,888 ","18,949 ","16,832 ","14,834 ","16,988 ","13,037 ","32,292 ","17,983 ","8,477 ","11,974 ","39,005 ","21,547 ","24,036 ","25,571 ","8,318 ","10,779 ","5,003 ","5,017 ","5,890 ","9,601 ","9,499 ","12,908 ","17,058 ","28,253 ","23,845 ","13,689 ","11,782 ","11,908 ","12,080 ","11,451 ","9,812 ","9,322 "
2018/7/17,"6,405 ","15,910 ","41,369 ","48,984 ","25,110 ","15,076 ","11,858 ","4,387 ","3,374 ","14,285 ","2,703 ","3,825 ","7,521 ","8,590 ","10,507 ","17,731 ","16,597 ","5,157 ","9,055 ","3,603 ","8,060 ","7,885 ","5,610 ","29,802 ","2,313 ","12,368 ","11,279 ","16,806 ","21,859 ","15,832 ","10,044 ","28,761 ","18,537 ","34,670 ","29,897 ","9,317 ","36,625 ","27,224 ","26,740 ","22,050 ","27,236 ","156,907 ","37,795 ","23,860 ","24,347 ","26,320 ","31,834 ","26,849 ","23,624 ","12,750 ","30,982 ","8,211 ","10,290 ","16,835 ","4,852 ","3,758 ","2,988 ","11,313 ","9,467 ","7,422 ","35,176 ","8,784 ","13,203 ","7,294 ","21,776 ","24,344 ","31,514 ","39,538 ","41,554 ","26,112 ","30,073 ","70,725 ","21,973 ","33,625 ","37,904 ","23,470 ","62,245 ","19,616 ","17,644 ","14,865 ","17,014 ","13,506 ","30,318 ","18,756 ","8,540 ","12,278 ","40,118 ","22,685 ","24,354 ","25,942 ","8,723 ","11,050 ","5,264 ","5,119 ","6,347 ","9,740 ","9,659 ","13,004 ","17,434 ","28,967 ","24,808 ","13,992 ","12,167 ","11,991 ","12,374 ","11,860 ","9,883 ","9,335 "
2018/7/18,"6,321 ","15,913 ","41,265 ","49,165 ","24,788 ","15,400 ","11,721 ","4,390 ","3,398 ","13,749 ","2,760 ","3,843 ","7,369 ","9,412 ","10,665 ","17,595 ","16,695 ","5,278 ","9,220 ","3,702 ","8,466 ","7,852 ","5,789 ","31,526 ","2,317 ","12,694 ","11,461 ","16,786 ","22,040 ","15,989 ","10,169 ","28,997 ","19,444 ","35,563 ","29,425 ","9,521 ","36,932 ","28,111 ","27,097 ","22,175 ","27,327 ","158,539 ","39,004 ","23,483 ","24,552 ","26,570 ","31,572 ","26,964 ","23,663 ","12,739 ","31,761 ","8,109 ","10,466 ","17,016 ","4,941 ","3,800 ","3,027 ","11,286 ","9,314 ","7,449 ","35,956 ","8,655 ","13,299 ","7,562 ","21,934 ","24,303 ","31,984 ","39,898 ","41,587 ","26,826 ","30,404 ","71,404 ","22,952 ","33,950 ","38,875 ","23,793 ","62,492 ","19,602 ","17,558 ","14,985 ","17,663 ","13,852 ","29,328 ","18,619 ","8,620 ","12,285 ","39,906 ","22,534 ","24,603 ","26,840 ","8,643 ","10,689 ","5,186 ","5,164 ","5,988 ","9,812 ","9,592 ","12,813 ","17,601 ","29,078 ","25,123 ","14,128 ","12,294 ","12,110 ","12,451 ","11,937 ","9,752 ","9,469 "
2018/7/19,"6,291 ","15,923 ","42,096 ","50,887 ","25,419 ","15,189 ","11,853 ","4,368 ","3,267 ","13,440 ","2,789 ","3,860 ","6,921 ","8,844 ","10,340 ","17,345 ","16,561 ","5,214 ","9,156 ","3,753 ","8,306 ","7,908 ","5,857 ","39,040 ","2,354 ","12,548 ","11,150 ","16,747 ","21,882 ","15,476 ","10,367 ","28,440 ","18,868 ","34,479 ","29,096 ","9,271 ","36,568 ","27,583 ","26,658 ","22,214 ","26,509 ","157,638 ","38,595 ","23,331 ","23,849 ","26,407 ","31,391 ","26,191 ","23,304 ","12,636 ","30,848 ","8,386 ","10,446 ","16,712 ","4,936 ","3,609 ","3,028 ","11,074 ","9,428 ","7,421 ","35,496 ","8,692 ","13,345 ","7,256 ","21,792 ","24,022 ","31,790 ","39,864 ","41,857 ","26,698 ","30,370 ","71,635 ","22,485 ","33,684 ","39,793 ","23,648 ","63,932 ","19,821 ","17,240 ","15,577 ","19,502 ","13,701 ","30,733 ","18,446 ","8,680 ","12,095 ","39,972 ","22,535 ","24,522 ","26,225 ","8,611 ","11,128 ","5,033 ","5,217 ","5,843 ","9,706 ","9,604 ","13,019 ","17,697 ","29,355 ","25,266 ","14,169 ","12,259 ","12,078 ","12,315 ","11,836 ","9,732 ","9,430 "
2018/7/20,"7,256 ","16,573 ","42,735 ","55,314 ","25,602 ","15,650 ","12,526 ","4,459 ","3,371 ","13,636 ","2,753 ","3,901 ","7,762 ","9,207 ","11,492 ","18,023 ","17,304 ","5,716 ","9,879 ","3,845 ","8,531 ","8,444 ","5,971 ","41,496 ","2,570 ","13,324 ","11,925 ","17,575 ","23,201 ","16,345 ","11,012 ","31,534 ","20,536 ","35,210 ","32,060 ","9,365 ","38,299 ","28,999 ","27,876 ","23,299 ","27,013 ","176,145 ","42,282 ","24,487 ","25,121 ","27,506 ","33,804 ","28,542 ","24,944 ","13,104 ","31,206 ","8,616 ","10,573 ","18,125 ","5,303 ","3,713 ","3,066 ","11,037 ","9,612 ","7,504 ","38,148 ","9,040 ","13,996 ","7,823 ","22,520 ","24,646 ","33,133 ","43,857 ","43,628 ","28,028 ","31,852 ","77,765 ","22,647 ","36,671 ","42,762 ","25,061 ","71,034 ","20,766 ","18,036 ","15,848 ","20,693 ","14,183 ","40,675 ","19,756 ","9,477 ","12,994 ","40,919 ","22,579 ","24,747 ","27,572 ","8,453 ","12,596 ","5,455 ","5,337 ","6,541 ","10,201 ","10,302 ","14,623 ","18,367 ","29,560 ","26,978 ","14,372 ","12,759 ","12,877 ","12,818 ","12,473 ","10,094 ","9,998 "
2018/7/21,"5,176 ","10,768 ","24,694 ","54,584 ","16,703 ","10,513 ","8,740 ","3,730 ","2,521 ","8,880 ","1,945 ","2,996 ","8,667 ","6,606 ","9,933 ","5,867 ","7,118 ","4,092 ","8,282 ","3,114 ","5,976 ","7,044 ","3,039 ","28,617 ","2,733 ","11,327 ","9,308 ","13,929 ","16,918 ","14,418 ","9,507 ","32,076 ","18,187 ","26,565 ","25,209 ","4,517 ","32,607 ","22,643 ","21,401 ","18,557 ","12,609 ","178,640 ","38,995 ","19,545 ","18,311 ","25,820 ","31,848 ","25,492 ","19,168 ","8,901 ","23,229 ","6,443 ","7,238 ","13,882 ","5,251 ","3,066 ","2,159 ","7,564 ","7,971 ","5,743 ","35,929 ","6,638 ","11,546 ","6,373 ","17,943 ","17,410 ","29,300 ","40,238 ","34,806 ","22,383 ","29,030 ","79,483 ","16,980 ","35,933 ","36,498 ","19,453 ","61,819 ","16,083 ","14,669 ","9,635 ","16,932 ","9,276 ","39,345 ","14,092 ","9,506 ","10,721 ","20,527 ","17,953 ","17,146 ","19,872 ","7,078 ","11,977 ","4,361 ","2,440 ","5,838 ","7,491 ","9,167 ","12,298 ","13,887 ","20,744 ","23,166 ","11,625 ","10,277 ","10,528 ","10,136 ","10,348 ","7,689 ","7,962 "
2018/7/22,"5,421 ","8,477 ","18,029 ","42,601 ","12,694 ","8,054 ","6,777 ","3,357 ","2,124 ","6,574 ","1,646 ","2,624 ","7,797 ","5,391 ","9,999 ","4,796 ","5,641 ","3,277 ","6,796 ","3,043 ","4,963 ","5,604 ","2,518 ","23,944 ","1,993 ","10,684 ","8,301 ","12,226 ","14,097 ","13,216 ","7,462 ","25,539 ","15,237 ","20,324 ","23,016 ","3,942 ","26,819 ","18,958 ","17,913 ","16,260 ","10,777 ","173,859 ","32,166 ","15,067 ","17,393 ","23,226 ","29,024 ","22,026 ","18,037 ","7,428 ","18,868 ","5,344 ","5,973 ","12,729 ","5,097 ","2,812 ","1,545 ","6,614 ","6,870 ","5,242 ","36,314 ","6,249 ","10,627 ","5,351 ","14,985 ","13,548 ","25,217 ","37,744 ","28,934 ","18,173 ","26,560 ","70,824 ","14,165 ","29,780 ","28,050 ","15,832 ","54,244 ","13,914 ","12,899 ","7,923 ","15,756 ","8,491 ","37,699 ","10,855 ","8,584 ","9,113 ","16,153 ","11,410 ","13,651 ","16,811 ","6,193 ","10,485 ","4,086 ","2,254 ","5,024 ","7,058 ","7,936 ","11,328 ","11,509 ","17,685 ","20,903 ","9,536 ","8,236 ","8,849 ","8,612 ","9,014 ","6,708 ","6,872 "
2018/7/23,"6,348 ","15,278 ","40,732 ","45,782 ","23,874 ","14,166 ","11,687 ","4,133 ","3,298 ","12,801 ","2,539 ","4,045 ","5,166 ","8,429 ","9,574 ","16,846 ","16,101 ","4,911 ","8,831 ","3,242 ","7,738 ","7,802 ","5,353 ","28,965 ","2,260 ","12,311 ","10,646 ","16,407 ","20,829 ","15,193 ","9,581 ","26,036 ","17,666 ","33,590 ","28,312 ","9,491 ","35,504 ","26,618 ","25,950 ","21,665 ","26,129 ","156,202 ","35,704 ","23,286 ","24,019 ","25,623 ","29,454 ","25,725 ","22,319 ","12,826 ","30,154 ","8,057 ","9,841 ","15,939 ","5,410 ","3,730 ","2,886 ","10,906 ","9,108 ","7,121 ","33,555 ","8,608 ","12,864 ","7,074 ","21,061 ","23,729 ","30,582 ","38,293 ","39,719 ","25,567 ","29,396 ","68,453 ","20,589 ","31,677 ","36,165 ","21,914 ","61,300 ","18,673 ","16,418 ","14,388 ","16,914 ","13,014 ","37,345 ","17,952 ","8,040 ","12,119 ","38,755 ","21,120 ","24,317 ","25,194 ","8,191 ","10,126 ","5,008 ","5,015 ","5,807 ","9,336 ","9,306 ","12,725 ","16,721 ","28,310 ","23,963 ","13,640 ","11,777 ","11,651 ","12,063 ","11,747 ","9,478 ","9,107 "
2018/7/24,"5,998 ","15,856 ","41,734 ","47,265 ","25,074 ","14,590 ","11,927 ","4,276 ","3,255 ","12,908 ","2,664 ","4,215 ","6,991 ","8,642 ","10,310 ","17,297 ","16,527 ","5,035 ","8,993 ","3,335 ","7,894 ","8,130 ","5,388 ","29,339 ","2,199 ","12,468 ","10,940 ","16,560 ","21,013 ","15,984 ","9,993 ","27,078 ","18,236 ","34,013 ","29,458 ","9,343 ","35,981 ","27,136 ","26,349 ","21,766 ","26,803 ","152,833 ","36,604 ","23,505 ","23,679 ","26,420 ","30,505 ","26,856 ","23,166 ","12,693 ","30,615 ","8,226 ","10,032 ","16,323 ","5,398 ","3,931 ","2,931 ","10,969 ","9,146 ","7,248 ","33,375 ","8,461 ","13,035 ","7,257 ","21,183 ","24,076 ","30,504 ","38,706 ","40,990 ","26,237 ","29,191 ","67,185 ","21,862 ","32,434 ","37,562 ","22,611 ","60,986 ","19,689 ","16,466 ","14,649 ","16,750 ","13,172 ","28,522 ","18,211 ","8,526 ","11,989 ","39,404 ","21,687 ","24,726 ","25,775 ","8,277 ","10,100 ","5,092 ","5,233 ","5,782 ","9,394 ","9,429 ","12,595 ","17,058 ","28,339 ","24,559 ","13,749 ","11,932 ","11,807 ","12,165 ","11,658 ","9,574 ","9,259 "
2018/7/25,"6,107 ","15,868 ","42,341 ","48,605 ","24,925 ","14,970 ","12,039 ","4,355 ","3,455 ","13,267 ","2,676 ","4,181 ","7,017 ","8,677 ","10,215 ","17,596 ","16,629 ","5,356 ","9,197 ","3,611 ","8,217 ","8,097 ","5,498 ","29,863 ","2,185 ","12,552 ","11,126 ","17,026 ","21,527 ","15,439 ","10,154 ","27,609 ","18,668 ","34,286 ","30,102 ","9,377 ","35,891 ","26,986 ","26,572 ","22,028 ","27,104 ","155,822 ","38,460 ","23,902 ","24,122 ","26,740 ","31,009 ","27,539 ","23,505 ","12,773 ","31,116 ","8,251 ","10,155 ","16,977 ","5,838 ","3,955 ","3,071 ","11,125 ","9,154 ","7,371 ","35,659 ","8,765 ","13,077 ","7,441 ","21,311 ","23,907 ","31,061 ","39,616 ","41,204 ","26,601 ","29,781 ","71,781 ","22,697 ","32,950 ","38,613 ","23,512 ","62,779 ","19,780 ","16,770 ","14,644 ","17,380 ","13,421 ","29,644 ","18,387 ","8,686 ","11,860 ","40,479 ","21,923 ","24,758 ","25,809 ","8,355 ","11,117 ","5,069 ","5,183 ","5,950 ","9,664 ","9,687 ","12,738 ","17,617 ","28,926 ","25,181 ","13,883 ","12,245 ","11,872 ","12,253 ","11,761 ","9,778 ","9,324 "
2018/7/26,"6,514 ","15,891 ","42,451 ","50,304 ","25,323 ","15,346 ","11,943 ","4,172 ","3,204 ","13,113 ","2,743 ","4,169 ","7,287 ","8,695 ","10,817 ","17,467 ","17,037 ","5,624 ","9,218 ","3,507 ","8,343 ","8,108 ","5,483 ","29,841 ","2,318 ","12,593 ","11,263 ","16,810 ","21,652 ","15,509 ","10,181 ","27,874 ","19,104 ","34,451 ","30,508 ","9,604 ","36,159 ","27,242 ","26,172 ","22,272 ","26,522 ","158,712 ","39,116 ","23,691 ","24,298 ","26,628 ","31,722 ","27,387 ","23,737 ","12,810 ","30,488 ","8,315 ","10,322 ","16,890 ","5,717 ","4,098 ","3,028 ","10,945 ","9,207 ","7,345 ","36,693 ","8,751 ","13,090 ","7,484 ","22,113 ","24,564 ","31,009 ","40,338 ","41,581 ","26,849 ","30,639 ","72,038 ","22,016 ","33,470 ","38,920 ","23,454 ","63,308 ","20,048 ","16,848 ","15,494 ","17,588 ","13,419 ","32,026 ","18,589 ","8,683 ","12,131 ","40,560 ","21,842 ","24,661 ","26,214 ","8,556 ","11,280 ","5,162 ","5,320 ","5,906 ","9,649 ","9,552 ","13,162 ","17,904 ","29,494 ","25,322 ","14,061 ","12,109 ","11,990 ","12,279 ","11,637 ","9,716 ","9,201 "
2018/7/27,"6,900 ","16,343 ","42,813 ","54,682 ","25,246 ","15,078 ","12,467 ","4,615 ","3,287 ","13,538 ","2,827 ","4,212 ","7,604 ","8,929 ","11,852 ","17,821 ","16,864 ","5,697 ","9,644 ","3,613 ","8,511 ","8,433 ","5,474 ","31,766 ","2,340 ","12,860 ","11,590 ","17,605 ","22,427 ","16,731 ","10,810 ","30,856 ","19,995 ","35,490 ","33,188 ","9,383 ","37,661 ","28,641 ","27,495 ","22,525 ","25,989 ","180,067 ","42,127 ","25,035 ","25,087 ","27,961 ","33,945 ","29,183 ","25,159 ","13,124 ","31,421 ","8,593 ","10,816 ","17,557 ","6,508 ","3,876 ","3,138 ","11,214 ","9,676 ","7,649 ","37,869 ","9,038 ","13,557 ","7,936 ","22,366 ","24,250 ","32,577 ","43,097 ","43,625 ","27,256 ","32,432 ","79,053 ","22,231 ","35,504 ","41,309 ","25,599 ","67,787 ","20,847 ","17,877 ","15,511 ","18,935 ","14,108 ","33,687 ","19,719 ","9,297 ","13,291 ","40,500 ","22,463 ","25,301 ","27,709 ","8,374 ","12,520 ","5,309 ","5,389 ","6,394 ","9,897 ","10,204 ","14,871 ","17,880 ","31,099 ","26,798 ","14,531 ","12,689 ","12,685 ","12,870 ","12,055 ","10,102 ","9,853 "
2018/7/28,"5,279 ","10,756 ","24,894 ","55,852 ","16,944 ","10,370 ","8,915 ","4,014 ","2,592 ","9,243 ","2,062 ","3,562 ","11,880 ","6,583 ","10,450 ","5,878 ","7,249 ","4,249 ","8,482 ","3,478 ","6,087 ","6,856 ","2,666 ","22,972 ","2,165 ","12,532 ","9,817 ","14,508 ","16,898 ","17,074 ","9,494 ","29,999 ","18,620 ","27,219 ","33,345 ","4,898 ","33,202 ","23,519 ","22,003 ","19,535 ","12,851 ","189,824 ","40,626 ","20,391 ","19,706 ","44,455 ","37,314 ","27,996 ","21,335 ","9,692 ","25,851 ","6,720 ","7,527 ","15,073 ","5,890 ","3,137 ","2,091 ","8,139 ","8,444 ","5,972 ","42,883 ","6,952 ","11,962 ","6,642 ","18,266 ","18,206 ","30,312 ","41,677 ","34,999 ","22,041 ","31,630 ","86,068 ","16,203 ","35,757 ","37,082 ","19,645 ","59,401 ","16,365 ","15,313 ","9,887 ","16,315 ","10,775 ","29,318 ","14,398 ","11,203 ","11,338 ","21,563 ","20,397 ","17,247 ","22,367 ","6,870 ","10,948 ","4,202 ","2,730 ","5,778 ","7,516 ","9,552 ","12,941 ","14,010 ","21,616 ","25,364 ","11,722 ","10,512 ","10,753 ","10,601 ","10,585 ","8,055 ","8,115 "
2018/7/29,"5,732 ","9,051 ","19,896 ","44,734 ","14,155 ","8,185 ","6,793 ","3,272 ","2,072 ","7,132 ","1,674 ","2,845 ","9,180 ","5,268 ","9,409 ","5,191 ","5,821 ","3,390 ","6,957 ","3,103 ","4,921 ","5,622 ","2,519 ","16,356 ","2,040 ","11,267 ","7,900 ","12,321 ","13,433 ","13,455 ","7,898 ","26,484 ","15,698 ","20,967 ","23,690 ","3,820 ","27,320 ","18,826 ","18,327 ","16,329 ","10,952 ","177,984 ","34,922 ","15,334 ","18,037 ","35,702 ","31,708 ","24,158 ","19,866 ","7,303 ","19,003 ","5,406 ","6,667 ","13,217 ","5,330 ","2,707 ","1,622 ","6,816 ","6,877 ","5,106 ","39,808 ","6,337 ","10,713 ","5,474 ","15,314 ","13,835 ","25,131 ","38,173 ","28,809 ","18,468 ","28,086 ","75,352 ","13,828 ","29,135 ","29,268 ","16,187 ","52,247 ","13,466 ","12,786 ","8,198 ","14,463 ","9,434 ","25,422 ","11,144 ","10,001 ","9,887 ","16,670 ","18,256 ","14,220 ","18,155 ","5,877 ","9,179 ","3,667 ","2,229 ","4,973 ","6,521 ","8,064 ","11,440 ","12,013 ","17,915 ","21,869 ","9,701 ","8,685 ","9,029 ","8,736 ","8,823 ","7,058 ","6,544 "
2018/7/30,"6,546 ","15,137 ","40,468 ","47,243 ","23,478 ","13,852 ","11,384 ","4,073 ","3,166 ","12,599 ","2,617 ","4,078 ","5,704 ","7,871 ","10,337 ","16,733 ","16,174 ","5,266 ","8,697 ","3,259 ","7,884 ","7,634 ","5,366 ","28,941 ","2,212 ","11,797 ","10,726 ","16,041 ","20,667 ","15,029 ","9,650 ","26,133 ","17,128 ","32,673 ","27,934 ","9,222 ","35,078 ","26,137 ","25,604 ","21,384 ","25,913 ","155,612 ","36,658 ","23,465 ","23,333 ","24,934 ","29,641 ","25,691 ","22,490 ","12,502 ","29,701 ","7,964 ","10,010 ","15,874 ","5,229 ","3,425 ","2,886 ","10,658 ","9,039 ","7,075 ","34,409 ","8,440 ","12,749 ","7,168 ","20,717 ","23,432 ","29,623 ","38,647 ","39,890 ","25,458 ","29,814 ","69,854 ","20,104 ","31,937 ","36,509 ","22,347 ","61,120 ","18,650 ","16,617 ","14,382 ","16,877 ","13,609 ","30,005 ","17,721 ","8,299 ","11,827 ","38,396 ","21,976 ","23,980 ","25,052 ","8,346 ","9,804 ","4,978 ","5,041 ","5,698 ","9,339 ","9,104 ","13,253 ","16,705 ","28,265 ","23,905 ","13,437 ","11,698 ","11,715 ","12,001 ","11,525 ","9,484 ","9,045 "
